year,title,description
1995,Living in Oblivion ,"The film is divided into three parts, all of which concern the making of a low-budget movie featuring the same director, crew and substantially the same cast.
Part one: Director Nick Reve (Steve Buscemi) is shooting a low-budget independent film in the middle of New York City. The catering crew are under-funded and apathetic, deciding not to replace a carton of milk that has been on the craft service table for a week. The scene being shot is a difficult one; a young woman, Ellen, reproaches her elderly mother (Rica Martens) for not intervening when the father beat Ellen as a child. On the set, just about everything that can go wrong does go wrong; shots are spoiled because of how the mic boom is visible; the camera assistant fails to keep the shot in focus; Cora, the actress playing the mother, forgets her lines and Nicole, the actress playing Ellen, becomes increasingly unfocused and careless. A dispirited Nick calls for a rehearsal without camera to refresh the actors.
When Nicole (Catherine Keener) berates herself for acting badly, Cora (Rica Martens) reassures her with a gesture that reminds Nicole of a similar gesture made by her own terminally ill mother. Nicole is so upset by the memory that she turns in an unexpectedly passionate performance; and Cora, startled by Nicole's sudden intensity, is equally good. Watching them, Nick becomes enthusiastic all over again. Unfortunately, it was not captured on film; cinematographer and camera operator Wolf (Dermot Mulroney), who has been diluting the sub-standard coffee with the spoiled milk, was vomiting in the toilet throughout. Nick ruefully calls for another take. This time, a sudden and insistent beeping sound distracts the actors. Nobody can tell where it's coming from; and Nick flies into a rage, berating everyone on the crew and cast for their inadequacies. He then wakes up in his own bed; the beeping sound was his own alarm clock. He has dreamed the entire segment. It is 4:30 a.m. and he is due on set.
Part two: Early the same morning, the film's lead actor Chad Palomino (James LeGros) is getting dressed in Nicole's hotel room. They have spent the night together, and Chad suggests that they might get together again later; Nicole politely declines. Chad and Nicole arrive on the set separately. Nicole's character Ellen and Chad's character Damian have been in love for years but have never admitted it until the scene being shot on this day. Shooting the scene is made practically impossible by Chad's irregular acting. He keeps changing his mind about where to stand and continually moves to places where he is either invisible or badly lit by scenic light. Nicole becomes increasingly frustrated by Chad's egomania; and, when he starts to stroke her head, she briefly loses her cool, then apologizes. An irritated Chad demands a private talk with Nick. He tells Nick that he has slept with Nicole and makes out that it was she, not he, who had wanted to continue the relationship. Desperate to keep Chad happy, Nick agrees that Nicole is not very good. Nicole overhears this conversation on the sound mixer's headphones. Pretending to be contrite, she asks Nick if they can improvise a little; but, when they do so, she announces to everyone that, although she slept with Chad, she is not at all interested in him. Chad loses his temper and quits the movie.  Relieved that he will no longer have to please Chad, Nick calls him a ""Hostess Twinkie motherfucker"" and a fight breaks out. Nick beats Chad senseless and fires him. He apologizes to Nicole and confesses that he loves her. They kiss—then Nicole abruptly wakes up, still in her bed, having dreamed the entire segment.
Part three: Later the same day, the crew is setting up for a dream sequence in which Nicole, as Ellen, stands still while a dwarf walks around her holding an apple. Nick claims to have learned a lesson from his own dream: That sometimes, ""you just got to roll with things."" Nicole admits that she had a dream with Nick in it but doesn't tell him what happened. Nick manages to keep up his positive attitude despite the various mishaps that occur: The smoke machine fails to work, then it catches fire, then his senile mother Cora arrives on the set. However, the ill-tempered dwarf actor Tito (Peter Dinklage) complains that a dwarf in a dream sequence is cliché and walks off the set in disgust. Nick's confidence collapses, and he announces that the movie is over. At that moment, his mother intervenes, grabbing the apple, moving to Tito's mark and announcing that she is ""ready"". The crew scrambles to shoot the scene, and her manic performance injects fresh energy and conviction into it. Nick is delighted and decides to keep the new dream sequence, and there is a tense moment while the sound mixer records 30 seconds of room tone. The entire cast and crew manages to remain silent, and during this moment they each daydream about different things. They go on to shooting the next sequence."
1995,Lord of Illusions ,"In the Mojave Desert in 1982, a man named William Nix, also calling himself ""The Puritan"", has gathered a cult of disciples in an old house. Nix wields real magic and plans to sacrifice a girl, telling his followers he will save the world and grant them wisdom. A group of former cult members, including Philip Swann and Caspar Quaid, arrive to stop him. In the confrontation, Nix's assistant, Butterfield, escapes. Swann is attacked magically by Nix but the kidnapped girl shoots Nix through the heart with Swann's gun. Swann fastens an ironwork mask over Nix's head in order to ""bind"" him and his power. Nix dies.
Thirteen years later, in New York City, occult-specializing private detective Harry D'Amour has been shaken by an exorcism case. He accepts a case of insurance fraud in Los Angeles, hoping the experience will be akin to a paid vacation. During his investigation, D'Amour happens upon Quaid, now working as a fortune teller, being attacked by Butterfield and Ray Miller, a man possessing great strength. Butterfield and Miller escape. As he dies from multiple stab wounds, Quaid reads D'Amour's palm, seeing it is his destiny to ""walk the line between Heaven and Hell"". He warns that the Puritan is coming, then dies.
Swann, now a famous stage illusionist, lives in a Beverly Hills mansion with his wife, Dorothea. Philip Swann believes Quaid was killed by Nix's loyalists. Before he can leave Los Angeles, D'Amour is hired by Dorothea, who read about him in the newspaper story about Quaid. Dorothea fears for her husband. D'Amour agrees to investigate if Quaid's killers are targeting Phillip, and Dorothea invites him to his next magic show. A new illusion goes wrong and Swann is killed on stage, stabbed by multiple swords. Investigating backstage, D'Amour is attacked by Butterfield and Miller. Defending himself, he inadvertently kills Miller, but Butterfield escapes. The next day, D'Amour goes to the Magic Castle. After getting into the Repository, a room supposedly containing every magic secret known to man, D'Amour discovers Swann's ""illusions"" involved real magic he learned from Nix.
Dorothea reveals to D'Amour that she was the girl Nix kidnapped years ago, rescued by Swann, and marrying him out of gratitude and obligation. Dorothea and D'Amour make love; afterwards, D'Amour is attacked by supernatural forces. Suspecting a ruse, D'Amour opens Swann's coffin and finds the body is fake. Valentin, Swann's assistant, explains that Swann faked his death to protect himself and Dorothea from Nix, who may return from the dead. D'Amour agrees to allow the ruse to continue. At Swann's funeral, D'Amour follows a suspicious looking man who turns out to be Swann himself. Angered and jealous, Swann attacks D'Amour, then admits he masqueraded as an illusionist so he would be wealthy rather than hunted as a sorcerer. The detective convinces him that together they can defeat the loyal cultists and Nix, if he is resurrected.
Butterfield tortures Valentin for the location of Nix's body, then takes Dorothea hostage. After finding Nix's corpse, Butterfield stabs Valentin and takes the corpse back to the cult's old house in the desert. Nix's loyalists are present to witness his resurrection. Nix, now decayed and monstrous in appearance, promises to share his knowledge and power. Acting on information given by the dying Valentin, Swann and D'Amour arrive. Nix opens a deep chasm in the ground that swallows the cultists, declaring only Swann is worthy of his knowledge.
Nix drops Dorothea into the chasm. D'Amour rescues her. Nix asks Swann to join him again and embraces him. D'Amour and Dorothea are attacked by Butterfield, whom D'Amour kills. Swann agrees to remain with Nix, but admits he still cares for Dorothea. Out of jealousy, Nix attacks with magic, apparently killing Swann. Dorothea finds D'Amour's gun and shoots Nix in his mystical third eye. He retaliates, saying she should not have taken Swann away because he and Nix were meant to be together after humanity was destroyed.
Swann uses his last life energy and magic to help D'Amour deliver a final blow to Nix. Nix falls into the chasm and Swann dies from his wounds. Nix launches a final spell that disintegrates Swann's body to bones, and then seals the chasm. Dorothea and D'Amour escape the house and walk off into the desert together."
1995,Mallrats ,"College student T.S. Quint is preparing for a trip to Universal Studios Florida in Orlando with Brandi Svenning, during which he plans to propose to her; however, Brandi tells him she cannot go due to having volunteered to fill in as a contestant on Truth or Date, her father's dating game show, because the original contestant had died from an embolism bursting in her brain while swimming 700 laps at the local Y.M.C.A following T.S.'s comment regarding her weight. Brandi and T.S. argue over his responsibility and the two break up. T.S. turns to his best friend Brodie Bruce, who has been dumped by his girlfriend Rene, and Brodie suggests the two might find comfort at the local mall.
Brodie and T.S. discover Truth or Date is being filmed at the same mall, through their friend Willam, who throughout the film tries to see a sailboat in a Magic Eye poster. The two ask local slackers Jay and Silent Bob to destroy the show's stage, a task for which they devise elaborate but ultimately unsuccessful plans. Brodie and T.S. run into Tricia Jones, a 15-year-old senior who is writing a book on the sex drive of men ages 14–30, for which she has sex with various men as research and films every encounter. She then reveals that the previous night she had sex with Shannon Hamilton, a 25-year-old clothing-store manager who hates Brodie because of his ""lack of a shopping agenda.""
Brodie then learns that Rene has begun a relationship with Shannon. Brodie confronts Rene to find out more about the relationship, and the two have sex in an elevator. Brodie is later abducted and attacked by Shannon, who intends to have sex with Rene in a ""very uncomfortable place"". As a result of this incident, Jay and Silent Bob assault the mall's Easter Bunny, under the incorrect assumption that he attacked Brodie.
Brandi's father Jared has Brodie and T.S. arrested on false charges of drug possession at the mall. Jay and Silent Bob are able to rescue Brodie and T.S., and they hide out at a local flea market, where they meet topless fortune teller Ivannah, who gives them both advice on their relationship problems. T.S. decides to win Brandi back and the two return to the mall.
Before the show begins, Brodie meets famed Marvel legend Stan Lee, who gives him advice on romance. After this, Brodie requests that his friend Tricia Jones retrieve footage of her having sex with Shannon. Meanwhile, T.S. also persuades Jay to get two of the game show contestants stoned, which allows him and Brodie to replace them on Truth or Date.
During the show, Brandi recognizes the voices of Brodie and T.S., and an on-air argument between them ensues. Brodie ultimately gets the two to stop arguing, explaining that T.S. has been pining for Brandi all day. T.S. proposes to Brandi, and she accepts. As the police arrive to arrest T.S. and Brodie after the show is over, Silent Bob plays a sex tape of Shannon and Tricia, resulting in his arrest for statutory rape. Brodie and Rene renew their relationship as a result.
The conclusion reveals that T.S. marries Brandi at Universal Studios while on a Jaws attraction, Tricia's book is a bestseller, Shannon is imprisoned (and subsequently raped), Willam eventually does see the sailboat, Brodie becomes the host of The Tonight Show (with Rene as his bandleader), and that Jay and Silent Bob get an orangutan named Susanne."
1995,Mighty Morphin Power Rangers: The Movie ,"The Mighty Morphin Power Rangers participate with Bulk and Skull in a charity skydive for the Angel Grove observatory, in anticipation of Ryan's Comet which is scheduled to pass by in two days. Bulk and Skull miss the target landing zone and accidentally land at a construction site where a giant purple egg has been unearthed. Lord Zedd, Rita Repulsa, Goldar and Mordant arrive at the construction site and crack open the egg, releasing Ivan Ooze, a morphological being who ruled Earth 6,000 years ago before he was lured into a hyper-lock chamber and buried deep underground by Zordon and a group of young warriors. The Rangers find and confront him, but Ivan unleashes some ooze monsters on them. While the Rangers battle and successfully defeat them, the fight distracts them long enough to allow Ivan to escape and lay siege to the Command Center, incapacitating Zordon, and robbing the Rangers of their powers. As the Rangers return to the Command Center, they find it destroyed and Zordon, being outside his time warp, aging and dying.
Zordon's assistant Alpha 5 sends the Rangers to the distant planet Phaedos to obtain the Great Power and save Zordon. On the Moon, Ivan usurps Rita and Zedd, shrinking and trapping them in a snow globe, and forces Goldar and Mordant to be his servants, then sends his Tengu warriors to Phaedos and begins building an army. He uses children to bring his ooze to their parents, and it hypnotizes them into becoming his workforce to dig up his Ecto-Morphicons, twin war machines built during his reign. When Fred Kelman, a friend of the Rangers, discovers his father missing, he finds him working at the construction site and discovers Ivan's plans.
On Phaedos, the Rangers are almost killed by the Tengu but are rescued by Dulcea, Phaedos' Master Warrior. She initially tells them to leave for their safety, but after hearing of Zordon's plight, she agrees to help them and takes them to an ancient ruined temple where the Rangers will have to overcome obstacles to acquire the power of the Ninjetti. Dulcea awakens each Rangers' animal spirit; Aisha is the bear, Rocky is the ape, Billy is the wolf, Kimberly is the crane, Adam is the frog, and Tommy is the falcon. Upon being asked if she could join them, Dulcea informs the Rangers that she would begin to age as rapidly as Zordon is at the moment if she steps beyond the temple. She then shapeshifts into an owl to preserve her age. The Rangers make their way to the Monolith housing the Great Power, using their wits to defeat a live fossilized dinosaur skeleton, and then, the temple's Stone Gargoyle guardians, and retrieve the Great Power, restoring their suits.
On Earth, Ivan's Ecto-Morphicons are completely unearthed, and he unleashes them on Angel Grove, ordering the parents to walk off a cliff at the construction site. Fred recruits Bulk, Skull, and the other kids, who head to the construction site to save their parents. The Rangers return with their new animal-themed Ninja Zords and, after a difficult struggle, destroy one of Ivan's Ecto-Morphicons, Scorpitron. Ivan takes control of Hornitor and battles the Rangers himself as they combine their Zords to form the Ninja Megazord and later the Ninja Falcon Megazord. Meanwhile, the kids push the parents back while Fred, with help from Bulk and Skull, sprays them with a large amount of water. The Rangers lure Ivan into space and knock him right into the path of Ryan's Comet, which destroys him. Ivan's death breaks his spell on the parents, who are reunited with their children. The Rangers return to the Command Center but are distraught to find Zordon has died. They use the Great Power to restore the Command Center and resurrect Zordon, returning him to his time warp. Everything returns to normal in Angel Grove as a celebration is held at the Harbor with fireworks and a message saying ""Thank You Power Rangers"" which offends Bulk and Skull.
In a mid-credits scene, Goldar briefly lounges on Zedd's throne, being served by Mordant, only to panic when Zedd and Rita appear, having been released after Ivan was destroyed."
1995,Moonlight and Valentino ,"Rebecca Lott is a thirtysomething poetry teacher who is widowed when her husband is killed while jogging. Helping her cope with her grief is a support system consisting of her sister Lucy Trager, a chain-smoker still trying to deal with their mother's death from cancer fourteen years earlier; her best friend Sylvie Morrow, who is trapped in an unhappy marriage to Paul; and her former stepmother Alberta Russell, a high-powered Wall Street executive so caught up in the financial world she has difficulty relating to anyone not involved with it. Romance finds its way back into Rebecca's life when a flirtatious handsome younger man hired to paint the house takes an interest in her, and his presence affects the other women as well.
""...the painter also becomes a part of Rebecca’s healing process""."
1994,Mute Witness ,"Billy Hughes, a special effects make-up artist who is mute, is in Moscow working on a low-budget slasher film directed by Andy Clarke, the boyfriend of her elder sister, Karen. On one particular night, Billy returns to the set to fetch a piece of equipment for the next day's shoot when she is accidentally locked in the studio. Billy phones Karen for help and communicates with her via morse code, but is interrupted when she discovers a small film crew working after-hours to shoot a cheap pornographic film. Watching unseen, Billy is amused until the performed sex becomes sadistic. When Arkadi, the masked actor, pulls out a knife and brutally stabs the actress to death, Billy reacts and is discovered. She flees through the studio, pursued by the film's director, Lyosha, before crashing through a window outside. Moments later, Karen arrives and finds the injured Billy, with Lyosha standing over her. Lyosha pretends to be an innocent bystander who witnessed Billy's accident, but Karen senses he is dangerous based on Billy's body language.
Police arrive and question Lyosha, but come to the conclusion that Billy witnessed an elaborate special effects sequence being shot when they are unable to find a body. Arkadi, the man whom Billy witnessed stab the actress, demonstrates the effects using a fake knife that streams blood, frightening Andy when he pretends to attack him with it. Billy insists the prop knife is hers, and that Arkadi stole it. Billy leads police to an elevator shaft where she believes Lyosha stashed the actress's corpse, but they find it empty. After police dismiss the incident and send Billy home, a night watchman at the studio finds the actress's corpse burning in a basement incinerator before being stabbed to death by Arkadi. Shortly after, a mysterious elderly man arrives at the studio in a vintage car, and asks Lyosha if things ""went smoothly."" Aware that Billy witnessed the murder, the Reaper makes clear that she must be eliminated.
Meanwhile, a detective, Aleksander Larsen, begins looking into Billy's claim, believing there to be some truth to it, as rumors have circulated about an international crime ring making and selling snuff films in Moscow. The operation is led by a wealthy financier known as ""the Reaper."" Back at her apartment, Billy communicates with Karen using a digital phone dictation machine. In the midst of her conversation, Billy's doorbell rings, and she is confronted by Arkadi, who breaks in, followed by Lyosha. A violent struggle ensues, during which Billy manages to electrocute Arkadi in the bathtub with a hairdryer. Lyosha subsequently incapacitates Billy, only to be saved by Larsen, who beats Lyosha unconscious.
Larsen quickly escorts Billy away, and explains that the crime ring have targeted her, believing she is in possession of a computer disc containing confidential information. Meanwhile, Karen and Alex arrive at Billy's apartment only to find it disheveled, and they are subsequently attacked by Lyosha, who awakens. Two of the Reaper's thugs posing as policemen arrive at the scene, and they shoot and kill Lyosha before questioning Karen and Alex about the computer disc. Meanwhile, Billy directs Larsen to the film studio, where she believes the computer disc is located.
Karen and Andy meanwhile also rush to the studio, where Andy attempts to shoot at Larsen as he arrives with Billy, believing Larsen means her harm. In the melee, Billy rushes outside only to be confronted by numerous armed thugs, along with the Reaper. Moments later, Larsen shoots Billy multiple times, apparently killing her, before proffering the Reaper the sought-after computer disc. The Reaper and his thugs promptly depart, after which Karen begins to violently beat Larsen for killing her sister. However, Karen quickly realizes that Billy is still alive as she opens her eyes and brandishes a bulletproof vest; Larsen orchestrated the fake murder to divert the Reaper and spare Billy's life. Larsen makes plans to meet Billy the following day, and brings with him one of the studio's corrupt security guards, whom he has bound and gagged. As they are about to drive away, Billy observes the guard's worried expression, and realizes the car has been fixed with a bomb. With Alex's help, she manages to communicate this, and Larsen escapes the vehicle seconds before it explodes, saving himself."
1995,Nine Months ,"Child psychologist Samuel Faulkner is in a long-term relationship with ballet teacher Rebecca Taylor. This all changes when Rebecca declares she is pregnant, and when questioned by Samuel about her birth control, she replies that birth control is only 97% effective.
Samuel's fears mount due to his encounters with overbearing couple Marty and Gail Dwyer and their three young unruly daughters, as well as the confusing advice he gets from Sean, his perpetually single artist friend and Gail's brother. Samuel is confused and unsure about what to do. Feeling that Samuel is not ready to be a father, Rebecca leaves him and moves in with Marty and Gail (who is also pregnant with a fourth child). Samuel tries to contact her, but she ignores him. Sean encourages him to move on, with Samuel trying new things like rollerblading, getting an earring, and going to parties, but the thought of Rebecca still weighs heavy on his mind.
When a woman makes a move on Samuel at a party, he declines, saying that he is not ready to move on yet. He later views an ultrasound of his soon-to-be-born son and decides that it is time to take responsibility before it is too late. He sells his Porsche, buys a family car, and gets back together with Rebecca, much to Gail's delight.
Samuel and Rebecca then get married and not long afterward, they go out to dinner. During an awkward moment where they bump into the woman he met earlier at the party, Rebecca goes into labor. They rush to the hospital, where they meet Marty and Gail; who has gone into labor as well. Rebecca gives birth to their baby boy named Samuel Jr. and Gail gives birth to their fourth daughter named Becky."
1995,Showgirls ,"Nomi Malone is a young drifter who hitchhikes to Las Vegas hoping to make it as a showgirl. After a driver who picked her up robs her, Nomi meets Molly Abrams, a costume designer who takes Nomi in as a roommate. Molly invites Nomi backstage at Goddess, the Stardust Casino show where she works, to meet Cristal Connors, the diva star of the casino's topless dance revue. When Nomi tells Cristal she dances at Cheetah's Topless Club, Cristal derisively tells her that what she does is akin to prostitution. When Nomi is too upset to go to work that night, Molly takes her dancing at the Crave Club. Nomi is arrested after causing a fight involving James, a bouncer at the club. James bails Nomi out of jail, but she pays him little notice.
Cristal and her boyfriend, Zack Carey, the entertainment director at the Stardust, visit Cheetah's and request a lap dance from Nomi. Although the bisexual Cristal is attracted to Nomi, her request is based more on her desire to humiliate Nomi by proving she engages in sex work. Nomi reluctantly performs the lap dance after Cristal offers her $500. James happens to be at the strip club and sneaks a peek at Nomi's lap dance. He visits Nomi's trailer the next morning and tells Nomi that what she is doing is no different from prostitution. Nomi and James have a brief fling; the affair ends when James gives the dance routine he choreographed for Nomi to Penny, a former coworker of Nomi's whom he gets pregnant.
Cristal arranges for Nomi to audition for the chorus line of Goddess. Tony Moss, the show's director, humiliates Nomi by asking her to put ice on her nipples to make them hard. Furious, Nomi abruptly leaves the audition after scattering ice everywhere in a fit. Despite her outburst, Nomi gets the job and quits Cheetah's. Cristal further humiliates Nomi by suggesting she make a ""goodwill appearance"" at a boat trade show, which turns out to be a thinly disguised prostitution set-up.
Undeterred, Nomi sets out to get revenge against Cristal and claim her mantle. She seduces Zack, who secures an audition for her to be Cristal's understudy. Nomi wins the role, but when Cristal threatens legal action against the Stardust, the offer is rescinded. After Cristal taunts her, Nomi pushes her down a flight of stairs, breaking her hip, and replaces her as the show's lead. Although Nomi has finally secured the fame she sought, she alienates Molly, who realizes she caused Cristal's injury.
Molly later relents and attends Nomi's opening-night celebration at a posh hotel, where she meets her idol, musician Andrew Carver. Carver lures Molly to a room, where he brutally beats her and leads his bodyguards into gang-raping Molly. She is hospitalized after the assault. Nomi wants to report the assault to the police, but Zack tells her that the Stardust will bribe Molly with hush money to protect Carver, their star performer. Zack then confronts Nomi about her sordid past: Her birth name is Polly Ann Costello, and she became a runaway and prostitute after her parents' murder-suicide. She has been arrested several times for drug possession, prostitution, and assault with a deadly weapon. Zack blackmails Nomi by vowing to keep her past quiet if she will not tell the police about the assault.
Unable to obtain justice for Molly without exposing her past, Nomi decides to take it into her own hands. She gets Carver alone in his hotel room and beats him severely. Nomi then pays two hospital visits, one to Molly to let her know that Carver's actions did not go unpunished, and another to Cristal to apologize for injuring her. Cristal admits she pulled a similar stunt years ago. Because her lawyers secure her a large cash settlement, Cristal forgives Nomi, and they exchange a kiss. Nomi leaves Las Vegas and hitches a ride to Los Angeles, coincidentally with the same driver who stole her possessions when she arrived, whom she robs at knifepoint."
1995,Under Siege 2: Dark Territory ,"Following his retirement from the United States Navy, Casey Ryback settles in Denver, Colorado, where he starts and runs a restaurant business. When he receives news of the death of his estranged brother, James Ryback, in a plane crash, Casey meets James's daughter, Sarah, whom he will accompany to Los Angeles to attend his funeral. The two board the Grand Continental, a train traveling through the Rocky Mountains from Denver to Los Angeles. On board, they befriend a steward/porter named Bobby Zachs and the train's chefs.
As the train reaches the Rocky Mountains, a group of terrorists flag it down and murder the engineer and brakeman. The group, led by former U.S. government employee and computer genius Travis Dane and his second-in-command Marcus Penn, cuts the train phone lines and takes passengers and staff hostage, herding them into the last two cars. Casey kills one terrorist, then slips away. Dane worked on Grazer One, a top secret military satellite tectonic weapon for underground targets. The military fired Dane, who later faked his suicide.
Dane threatens two former Department of Defense colleagues with burning needles in their eyes unless they reveal codes to take over Grazer. Despite their disclosures, after the codes are confirmed to work, they are thrown from the train over a deep valley.
Middle Eastern terrorists have offered Dane $1 billion to destroy the Eastern seaboard by using Grazer to target a nuclear reactor located under the Pentagon. Dane demonstrates Grazer to investors by destroying a Chinese biological weapons facility that was passing itself off as a fertilizer production plant. After one investor offers an additional $100 million, despite the weapon's primary intention for subterranean targets, Dane destroys an airliner carrying the investor's ex-wife.
The U.S. government has difficulty locating Dane or Grazer. When officials destroy what they think is Grazer, Dane explains the NSA's best intelligence satellite was destroyed. As long as the train keeps moving, his location cannot be determined.
With Zachs' help, Casey takes matters into his own hands. He faxes a message to the owner of the Mile High Cafe, who relays the word to Admiral Bates. Bates quickly understands that Dane and the terrorists are on the train, and reluctantly approves a mission by two F-117 stealth bombers to destroy the train.
Zachs discovers that they are on the wrong tracks and are on a collision course with a Southern Pacific bulk freight train carrying gasoline tank cars. Casey kills the mercenaries one by one and releases the hostages, but Dane uses his computer skills to find the Stealth bombers and re-target Grazer to knock them out before they complete their mission. Aware of Casey's past, Penn uses Sarah as a bait to lure him to a fight, but Casey gains the upper hand and fatally breaks his neck.
Casey finds Dane about to depart in a chopper hovering over the train. When Dane informs Casey that there is no way to stop the satellite from destroying Washington, Casey shoots him. The bullet destroys his computer and injures Dane, who falls out of a window of the train. Control of the satellite is restored at the Pentagon and it is destroyed by remote control one second before it would have fired on the Pentagon, just before the two trains collide.
The crash happens on a trestle, resulting in an explosion that destroys the bridge and kills Scotty, the mercenary driving the train. Casey races through the exploding train, and grabs a rope ladder hanging from the chopper. Dane, who survived the gunshot and the crash, also catches onto the ladder. He attempts to climb onto the helicopter, screaming that he and Casey should join forces. Casey shuts the door, severing Dane's fingers and the latter falls to his death.
Casey informs the Pentagon that the passengers are safe, having previously detached the last two cars from the rest of the train. Later on, Sarah and Casey pay their final respects at James' gravestone."
1995,Waterworld ,"In 2500, as a result of the sea levels rising over 7,600 metres (24,900 ft), every continent on Earth is now underwater. The remains of human civilization live on rugged, floating communities known as atolls, having long forgotten about living on land. It is believed that a mythological ""Dryland"" exists somewhere in the endless ocean.
The Mariner, a lone drifter, arrives at an atoll on his trimaran to trade dirt, a rare commodity, for other supplies. When the atoll's residents see that the Mariner is a mutant, with gills and webbed feet, they decide to ""recycle"" him by drowning him in a pit of organic sludge. 
Suddenly, the atoll is attacked by the Smokers, a gang of pirates seeking a girl named Enola. According to their leader the Deacon, she has a map to Dryland tattooed on her back. Enola's guardian, Helen, attempts to escape with her on a gas balloon dirigible created by inventor Gregor, but the balloon is released erroneously. Helen quickly frees the Mariner, insisting he take both of them with him.
The three escape to the open sea aboard the trimaran, pursued by the Smokers. Helen's escape results in damage to the Mariner's boat, and he angrily refuses to take her to Dryland. He then cuts her hair and then Enola's as punishment but decides to take them anyway. 
During their quest to find Dryland, many other events happen to them, such as a drifter approaching them and being killed by the Mariner after a trade, coming across a trap by the Smokers, finding a large mutated shark, and discovering Enola's drawings of various Dryland objects that the Mariner recognizes from National Geographic magazines. 
Later, Helen explains that she believes humans once lived on land and demands to know where the Mariner collected his dirt. He provides her with a homemade diving bell to show her the underwater remains of Denver, Colorado and the soil on the ocean's floor, seeming to disprove Helen's belief. When they surface, they find that the Smokers have caught up to them, threatening to kill them if they do not hand over Enola, who is hiding aboard the boat. 
The Smokers abduct Enola and try to kill Helen and the Mariner. The Mariner takes Helen, diving underwater to avoid capture, with the Mariner's gills helping Helen breathe. When they resurface, they discover his boat has been destroyed. Gregor manages to find them and takes them to a new makeshift atoll inhabited by the survivors of the first attack using his gas balloon dirigible.
The Mariner takes a captured Smoker's jet ski to chase down the Deacon aboard the remains of the Exxon Valdez. The Deacon sends the crew to start rowing the ""Deez"" after bluffingly announcing that he has decoded the map on Enola's back. 
With all of the Smokers below deck to row the tanker, the Mariner confronts the Deacon, threatening to ignite the oil reserves below unless he returns Enola. The Deacon calls the Mariner's bluff, knowing that it would destroy the ship, but to his surprise, the Mariner drops a flare into the oil reservoir. 
The ship is engulfed in flames, and begins to sink. The Mariner rescues Enola, escaping via a rope from Gregor's balloon with Helen and the Atoll Enforcer aboard. As the Mariner climbs with Enola, the Deacon grabs the rope to escape the sinking ship. He is kicked off into the water but climbs aboard a jet ski. Firing upon the balloon shakes Enola into the ocean. As the Deacon and some of his men converge on Enola, the Mariner makes an impromptu bungee jump from the balloon to grab Enola right before the Deacon and his men collide on their jet-skis, dying in an explosion.
Sometime later, Gregor identifies Enola's back tattoo as coordinates with reversed directions. Following the map, Gregor, the Mariner, the Atoll Enforcer, Helen, and Enola discover Dryland, which is revealed to be the top of Mount Everest, covered with vegetation and wildlife. They also find a crude hut with the remains of Enola's parents. The Mariner, feeling that he does not belong on Dryland, builds a new wooden trimaran and departs, as Helen and Enola bid him farewell."
